PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS type;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;end user throughput for DL[kbps]: QCI-1_DL;end user throughput for DL[kbps]: QCI-5_DL;end user throughput for DL[kbps]: QCI-9_DL;end user throughput for UL[kbps]: QCI-1_UL;end user throughput for UL[kbps]: QCI-5_UL;end user throughput for UL[kbps]: QCI-9_UL;Latency: Ave_Latency_DL;Latency: Ave_Latency_UL
04.14.2020 08:15:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;497.23;5693.02;21781.06;167.55;164.48;883.81;16.00;0.00
04.14.2020 08:30:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;329.97;1405.57;19990.12;149.55;157.55;1257.70;19.00;0.00
04.14.2020 08:45:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;351.43;6009.36;18326.66;84.50;108.98;1933.96;12.00;0.00
04.14.2020 09:00:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;443.51;2788.20;18908.89;72.85;597.27;1617.06;21.00;0.00
04.14.2020 09:15:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;266.60;3657.53;20470.64;115.66;956.48;1212.51;15.00;0.00
04.14.2020 09:30:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;240.70;4131.01;13849.29;176.43;207.31;1323.14;13.00;0.00
04.14.2020 09:45:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;282.18;2282.39;11074.91;105.93;438.56;5014.90;16.00;0.00
04.14.2020 10:00:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;328.31;3861.71;15456.90;126.32;854.16;2684.02;22.00;0.00
04.14.2020 10:15:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;384.65;3116.97;15404.86;145.67;238.64;2797.73;17.00;0.00
04.14.2020 10:30:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;413.05;2734.77;14882.55;75.36;581.43;1818.33;24.00;0.00
04.14.2020 10:45:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;343.04;3038.50;10720.60;79.33;44.25;1013.81;11.00;0.00
04.14.2020 11:00:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;230.33;3470.55;20268.56;125.31;383.75;3304.94;15.00;0.00
04.14.2020 11:15:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;409.54;4565.33;21009.10;103.30;89.89;1993.92;24.00;0.00
04.14.2020 11:30:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;398.77;2984.40;18418.58;117.73;464.72;1548.40;41.00;0.00
04.14.2020 11:45:00;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;MacroBTS;L2G-SENDAIHIGASIJUUBANTYOUAW (id: 311706);311706;HI-45336_00001 (id: 1);1;352.21;3612.96;17514.33;103.03;574.84;1172.50;24.00;0.00
04.14.2020 08:00:00;L2G-SIRASAWAWADA (id: 319810);319810;MacroBTS;L2G-SIRASAWAWADA (id: 319810);319810;HV-04982_00001 (id: 91);91;1150.00;2365.90;23316.66;276.64;352.41;1188.23;10.00;0.00
04.14.2020 08:00:00;L2G-SIRASAWAWADA (id: 319810);319810;MacroBTS;L2G-SIRASAWAWADA (id: 319810);319810;HI-04982_00001 (id: 1);1;344.00;3205.05;15978.67;28.45;120.69;543.31;16.00;0.00
04.14.2020 08:15:00;L2G-SIRASAWAWADA (id: 319810);319810;MacroBTS;L2G-SIRASAWAWADA (id: 319810);319810;HI-04982_00001 (id: 1);1;;;17420.81;;1156.80;597.42;122.00;0.00
04.14.2020 08:15:00;L2G-SIRASAWAWADA (id: 319810);319810;MacroBTS;L2G-SIRASAWAWADA (id: 319810);319810;HV-04982_00001 (id: 91);91;;3752.73;11893.72;315.08;655.43;741.37;28.00;0.00
04.14.2020 08:30:00;L2G-SIRASAWAWADA (id: 319810);319810;MacroBTS;L2G-SIRASAWAWADA (id: 319810);319810;HV-04982_00001 (id: 91);91;;6949.33;12876.57;;404.50;429.43;18.00;0.00
