PERIOD_START_TIME;MRBTS name;MRBTS ID;LNBTS name;LNBTS ID;LNCEL name;LNCEL ID;Throughput: CellThroughput_DL_QCI_1;Throughput: CellThroughput_UL_QCI_1;Throughput: UserThroughput_DL_QCI_1;Throughput: UserThroughput_DL_QCI_5;Throughput: UserThroughput_DL_QCI_9;Throughput: UserThroughput_UL_QCI_1;Throughput: UserThroughput_UL_QCI_5;Throughput: UserThroughput_UL_QCI_9;PDCD_SDU_QCI_1: PDCD_SDU_DL_QCI_1;PDCD_SDU_QCI_1: PDCD_SDU_UL_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_QCI_1;E-RAB_Success_Ratio: ERAB_Attempt_QCI_1;E-RAB_Success_Ratio: ERAB_Success_QCI_1;E-RAB_Success_Ratio: ERAB_Success_Ratio_nonGBR;E-RAB_Drop_Ratio: ERAB_Drop_Ratio_QCI_1;E-RAB_Drop_Ratio: ERAB_ReleaseReq_QCI_1;Pre-emption_Ratio: Pre_emption_Ratio;SRVCC: SRVCC_Failure_Ratio;SRVCC: SRVCC_HO_Prep;SRVCC: SRVCC_HO_Attempt;SRVCC: SRVCC_HO_Success
04.22.2020 11:00:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;10.00;9.00;43.56;1785.83;16213.49;50.47;49.89;370.84;11989;10398;100.00;4;4;98.74;;;;;0;0;0
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00001 (id: 91);91;12.00;9.00;217.92;1568.42;8252.91;191.36;34.42;101.74;861;715;;0;0;99.42;;;;;0;0;0
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;9.00;8.00;;2144.98;25338.92;272.64;49.19;774.16;1604;675;100.00;2;2;99.24;;;;;0;0;0
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00001 (id: 151);151;0.00;0.00;;2697.85;9406.15;;63.89;231.65;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00002 (id: 152);152;0.00;0.00;;;5822.61;;;84.69;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00002 (id: 92);92;0.00;0.00;;1243.32;5476.13;;846.74;253.25;0;0;;0;0;99.62;;;;;0;0;0
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00001 (id: 1);1;7.00;11.00;412.00;4739.61;12457.02;113.98;116.02;764.67;1706;2919;100.00;1;1;99.74;;;;;0;0;0
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-K6206_00003 (id: 153);153;11.00;8.00;;1053.45;12168.83;47.08;66.21;260.70;6861;4932;100.00;3;3;97.94;;;;;0;0;0
04.22.2020 11:15:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QV-46159_00003 (id: 93);93;0.00;0.00;;1722.91;12149.55;;62.78;258.57;0;0;;0;0;100.00;;;;;0;0;0
04.22.2020 11:30:00;L2G-Ashikita (id: 448614);448614;L2G-Ashikita (id: 448614);448614;QI-16246_00002 (id: 2);2;12.00;11.00;250.25;7335.58;23492.94;57.79;216.42;775.27;10089;9427;100.00;1;1;99.84;;;;;0;0;0
